Evaluation/StdReturn,Evaluation/MaxReturn,TotalEnvSteps,Evaluation/AverageReturn,Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,Evaluation/TerminationRate,Evaluation/NumEpisodes,Evaluation/Iteration
89.47755420068223,-1080.745573272762,1200,-1208.061772317639,-493.2948275088036,-1364.4085229425443,0.0,6,0
66.15230226548294,-771.4007605011861,2400,-831.0721978327674,-324.084698550141,-962.394762551064,0.0,6,1
64.21546450906668,-1271.3588646092674,3600,-1358.641129883161,-594.6424634735798,-1440.4602966925995,0.0,6,2
81.17554957873742,-861.6759537651352,4800,-993.7407648754114,-440.4256428790474,-1090.2422259374896,0.0,6,3
105.94770101663325,-895.0423831883201,6000,-1015.1680341401208,-437.2562348664666,-1164.3312589200204,0.0,6,4
96.07041225258581,-1477.1458270254911,7200,-1675.6955103627258,-732.5340705042125,-1749.8528397760992,0.0,6,5
111.17408375719103,-1413.1050528425603,8400,-1505.4652742377675,-650.2319184595557,-1737.8281884740823,0.0,6,6
86.31772745948875,-862.070497635838,9600,-975.5813622835512,-423.3954116075172,-1095.3491562768513,0.0,6,7
63.51961230518903,-1662.4433731548322,10800,-1749.424047144261,-771.6298733180605,-1842.9954334856182,0.0,6,8
109.08332632258696,-1256.5073978251496,12000,-1442.6976157454844,-623.378495682806,-1583.5373905085748,0.0,6,9
71.56650884903046,-762.04963122384,13200,-882.9379992069477,-381.5119963281386,-1005.5952448090617,0.0,6,10
76.01656762439181,-783.8129230189504,14400,-904.5685969977068,-386.68740077505976,-1039.7703555904134,0.0,6,11
93.6547232065689,-992.7257815249968,15600,-1159.5766905839891,-503.25205305575355,-1291.7919211769351,0.0,6,12
125.4912774657893,-1161.2437735872923,16800,-1229.9886319502396,-525.8982845296774,-1509.0015934540572,0.0,6,13
123.88376396356234,-863.776820338429,18000,-1020.718374197425,-449.94543150958543,-1179.0195342297225,0.0,6,14
59.98734346837624,-1397.7583464604954,19200,-1481.1179231222243,-643.8125895141169,-1581.9079445355026,0.0,6,15
32.33046969080075,-1365.509825848968,20400,-1420.3643743567006,-617.9558630356081,-1453.7971208629417,0.0,6,16
92.05621313146827,-864.2365244995248,21600,-952.6069504058243,-398.63166514677977,-1128.5506813198017,0.0,6,17
93.74160378878508,-867.9110411854747,22800,-1025.6707519026152,-456.2928090978782,-1162.7428005412114,0.0,6,18
68.37045000897889,-860.4930464536384,24000,-937.3991926310491,-406.45822155981523,-1021.4334890525066,0.0,6,19
67.37845257439199,-882.9911471423704,25200,-946.9984234513942,-401.8515180029276,-1063.817296662195,0.0,6,20
29.31756810293376,-867.1249768807576,26400,-897.1039356264788,-344.50384216791343,-959.5648312650999,0.0,6,21
122.61766476134032,-845.7243730010199,27600,-950.9279852936432,-417.43652627974024,-1208.3585325986908,0.0,6,22
47.89650457919758,-1696.2098300884286,28800,-1775.5275279782993,-784.2476477061438,-1820.3168067035929,0.0,6,23
104.30916140244683,-957.0868265469813,30000,-1101.1202820589406,-481.24150838501237,-1233.7324681591822,0.0,6,24
108.01398794989775,-1176.038120461483,31200,-1291.0510532610178,-563.0561623851826,-1443.643926299509,0.0,6,25
83.13741141328885,-1612.6631282661306,32400,-1716.4501976389402,-754.3610418052775,-1863.8579466487045,0.0,6,26
95.77327880788933,-1458.5524601362679,33600,-1619.4508840296555,-707.2504522034875,-1771.6982599054156,0.0,6,27
129.8315094247984,-982.8040157487725,34800,-1177.1121943362214,-509.7368082522234,-1383.8109201718264,0.0,6,28
132.5242685860874,-854.8881669140588,36000,-1068.9601559411858,-459.61131849404956,-1202.7585082683822,0.0,6,29
82.16807040425539,-1064.9432132549457,37200,-1170.4136980679316,-507.30248722665505,-1299.6500105948653,0.0,6,30
70.32848463947994,-876.5256765684575,38400,-972.6115306080354,-419.82657873080115,-1077.7197505899567,0.0,6,31
78.83985208597858,-1401.1314672221158,39600,-1536.8892053758755,-666.6578705479021,-1627.8932742316715,0.0,6,32
102.70047895913383,-1320.0597911405616,40800,-1459.3841295181574,-632.4393483119342,-1658.8287560926449,0.0,6,33
51.08714963504497,-1171.021266213365,42000,-1240.9611012615444,-535.3479441356135,-1325.732899017847,0.0,6,34
109.61809073316395,-783.4481677292277,43200,-958.0766354220324,-402.9568137528027,-1087.793168880477,0.0,6,35
86.93530475107762,-752.1610155729692,44400,-847.652791687097,-363.60267042277115,-987.6798222534096,0.0,6,36
27.574998778917337,-1393.5613306665055,45600,-1441.6055478703522,-626.9144234146321,-1475.835166094373,0.0,6,37
85.55562472433682,-805.8496144147512,46800,-901.244352384659,-344.1766292819546,-1042.6666473553887,0.0,6,38
92.63359827487707,-1605.2214681310718,48000,-1707.52018921668,-742.3487939124105,-1839.0417341521606,0.0,6,39
83.3052620143363,-1664.1298867994906,49200,-1738.0401398610077,-752.3450526325031,-1854.4096364673626,0.0,6,40
40.6649228170518,-1161.9302548314552,50400,-1196.1948852938874,-516.6313262492887,-1254.7697894489872,0.0,6,41
83.83437594357883,-762.3970910704221,51600,-940.052280585904,-389.3721510204393,-1011.3096194742163,0.0,6,42
52.80781932658174,-1151.537860602482,52800,-1230.5588471004332,-523.3393226227925,-1297.5473316110802,0.0,6,43
89.0522540900524,-1386.6869250630136,54000,-1511.9668408099315,-653.0269838465566,-1618.7311786685964,0.0,6,44
99.29672736371988,-869.949052980702,55200,-963.9456484813363,-401.6010882481767,-1170.7837202377718,0.0,6,45
86.02173484486747,-1511.2487121712516,56400,-1653.1153389590906,-720.3151812000307,-1774.0887475944526,0.0,6,46
63.124922104495795,-1305.0650889896026,57600,-1417.6362370193694,-623.7777271278264,-1495.2426514802155,0.0,6,47
109.21036860553575,-958.0212391129885,58800,-1112.4283339016813,-482.62977791388556,-1244.4449004250282,0.0,6,48
