TotalEnvSteps,Evaluation/StdReturn,Evaluation/NumEpisodes,Evaluation/TerminationRate,Evaluation/Iteration,Evaluation/MaxReturn,Evaluation/MinReturn,Evaluation/AverageDiscountedReturn,Evaluation/AverageReturn
1998,4.523828055552286,2,0.0,0,-104.06382182626605,-113.11147793737062,-10.87876605507923,-108.58764988181834
3996,0.8730984506594623,2,0.0,1,-109.80511004884238,-111.5513069501613,-12.865545690115157,-110.67820849950184
5994,2.130000646571183,2,0.0,2,-101.55386391817541,-105.81386521131778,-9.842971273895955,-103.68386456474659
7992,5.078956248732105,2,0.0,3,-106.6613573757367,-116.81926987320091,-11.895611386967294,-111.7403136244688
9990,0.74525630607544,2,0.0,4,-109.09199732399988,-110.58250993615076,-10.316509217303299,-109.83725363007531
11988,2.3922794279984174,2,0.0,5,-107.30396915752748,-112.08852801352431,-12.107069450105673,-109.6962485855259
13986,4.528954967528826,2,0.0,6,-95.24011541401585,-104.2980253490735,-9.82392388886869,-99.76907038154468
15984,0.8214258802029022,2,0.0,7,-97.16047259162026,-98.80332435202607,-8.500939814859185,-97.98189847182317
17982,3.255777595701346,2,0.0,8,-103.08064399055014,-109.59219918195284,-11.64508731864479,-106.33642158625149
19980,9.81432438271787,2,0.0,9,-94.5174244189601,-114.14607318439585,-10.04110043216436,-104.33174880167797
21978,1.95629235725184,2,0.0,10,-107.7389821032579,-111.65156681776158,-10.330445115507063,-109.69527446050974
23976,2.075982356646165,2,0.0,11,-95.37448215218387,-99.5264468654762,-10.537405857919202,-97.45046450883004
25974,2.233206570094495,2,0.0,12,-103.3645315719734,-107.83094471216239,-10.47223998987064,-105.5977381420679
27972,1.5419186466757964,2,0.0,13,-98.5094440896681,-101.59328138301969,-8.988638179495986,-100.05136273634389
29970,0.9725353604279476,2,0.0,14,-93.88102641931337,-95.82609714016927,-9.14238690895725,-94.85356177974131
31894,55.132990729434354,2,0.5,15,9.712690989790715,-100.553290469078,-10.79598867407422,-45.42029973964364
33892,3.108275915881819,2,0.0,16,-82.94744884877464,-89.16400068053828,-7.7966240534111035,-86.05572476465646
35890,1.2902009294923076,2,0.0,17,-89.00311574343661,-91.58351760242122,-8.638926400580676,-90.29331667292891
37888,1.9218596417240121,2,0.0,18,-91.58724322633455,-95.43096250978257,-8.728189091086413,-93.50910286805856
39886,5.5257507102491985,2,0.0,19,-84.06633841099368,-95.11783983149208,-8.503849415715287,-89.59208912124288
41884,2.8309444449083614,2,0.0,20,-83.23344367837852,-88.89533256819524,-8.723944077371861,-86.06438812328688
43882,1.1722036937409896,2,0.0,21,-88.85893465416281,-91.20334204164479,-9.561532853573851,-90.0311383479038
45880,1.036216432170363,2,0.0,22,-86.44378367423451,-88.51621653857524,-7.942033733988566,-87.48000010640487
47878,1.264780717252009,2,0.0,23,-86.75449879947024,-89.28406023397426,-8.922509725061122,-88.01927951672225
49876,2.6377566766454095,2,0.0,24,-79.53569994204173,-84.81121329533255,-8.186166870659434,-82.17345661868714
51874,0.6297600114848478,2,0.0,25,-91.5105660197639,-92.7700860427336,-8.934127342155747,-92.14032603124875
53872,3.450123248747502,2,0.0,26,-76.04416082233742,-82.94440731983242,-7.726033756750285,-79.49428407108492
55870,1.300284264956197,2,0.0,27,-88.58218091847644,-91.18274944838883,-8.693469581759569,-89.88246518343263
57868,0.5606371970270487,2,0.0,28,-80.43208366497349,-81.55335805902759,-8.014222612905739,-80.99272086200054
59866,1.646792630307786,2,0.0,29,-86.35589800221418,-89.64948326282975,-8.427368013872016,-88.00269063252196
61864,1.8657296977066267,2,0.0,30,-79.0716411646915,-82.80310056010475,-7.735304720481157,-80.93737086239813
63862,1.3158528828516936,2,0.0,31,-85.80093286983897,-88.43263863554236,-8.716699114740207,-87.11678575269067
65860,0.2502048021587413,2,0.0,32,-79.70224480352627,-80.20265440784375,-7.669194670803794,-79.95244960568502
67858,0.9556333395691539,2,0.0,33,-83.5657635642597,-85.477030243398,-8.602647418366367,-84.52139690382884
69856,4.07936152046441,2,0.0,34,-75.4666969085804,-83.62541994950922,-7.030170804337389,-79.54605842904482
71854,3.021983937582128,2,0.0,35,-80.1427859392625,-86.18675381442675,-8.194285451021386,-83.16476987684462
73852,0.2688452308712854,2,0.0,36,-75.73705751235097,-76.27474797409354,-7.475474781131217,-76.00590274322226
75850,0.3431011352019979,2,0.0,37,-75.0044080938931,-75.6906103642971,-7.825625053567198,-75.3475092290951
77848,0.015261459974432512,2,0.0,38,-70.88444503943465,-70.91496795938352,-6.389584211781954,-70.89970649940909
79846,2.231223092751783,2,0.0,39,-73.36303286722308,-77.82547905272665,-7.210268248618341,-75.59425595997487
81844,2.6574559191731524,2,0.0,40,-66.96112518424381,-72.27603702259012,-6.465463196363433,-69.61858110341697
83842,2.4997946614690534,2,0.0,41,-66.24708095055867,-71.24667027349678,-5.911063017822709,-68.74687561202772
85840,2.8207198238044455,2,0.0,42,-70.970033563995,-76.6114732116039,-7.131604642627279,-73.79075338779944
87838,3.0681508598218055,2,0.0,43,-65.20005918041534,-71.33636090005895,-6.415058395137693,-68.26821004023714
89836,2.6979249963671563,2,0.0,44,-69.50833798824831,-74.90418798098263,-6.67775476724395,-72.20626298461548
91834,0.36851690203973675,2,0.0,45,-66.96225452470588,-67.69928832878536,-6.16136295499072,-67.33077142674563
93832,1.9262798958638427,2,0.0,46,-66.38433285984605,-70.23689265157374,-6.773026651988413,-68.3106127557099
95830,0.9056861250662358,2,0.0,47,-61.84772278194216,-63.65909503207463,-5.759945075607911,-62.75340890700839
97828,0.1331942261354513,2,0.0,48,-71.24768109348737,-71.51406954575828,-6.5806631119410515,-71.38087531962282
99826,3.537561450498359,2,0.0,49,-61.57464927823001,-68.64977217922673,-6.143589865309427,-65.11221072872837
101824,0.058535567791430765,2,0.0,50,-65.28831062710464,-65.4053817626875,-6.247495327575045,-65.34684619489607
103822,2.164701602031318,2,0.0,51,-60.368740886636694,-64.69814409069933,-6.917513439278238,-62.533442488668015
105820,1.4563815793653099,2,0.0,52,-62.17696183895814,-65.08972499768876,-6.231960172374305,-63.63334341832345
107818,0.5973495436920189,2,0.0,53,-61.37727506026798,-62.57197414765202,-6.485126985238045,-61.97462460396
109816,0.14565635126128385,2,0.0,54,-58.456839458234256,-58.748152160756824,-5.3865201236433276,-58.60249580949554
111814,0.25251644030018383,2,0.0,55,-61.76041582253278,-62.265448703133146,-6.41285144348794,-62.01293226283296
113812,0.7751124047691818,2,0.0,56,-64.854261270724,-66.40448608026236,-5.9623527143785715,-65.62937367549318
115810,3.0686377067999864,2,0.0,57,-57.97288055665732,-64.1101559702573,-6.7066940753900575,-61.041518263457306
117808,1.4623337617745094,2,0.0,58,-60.92956960696212,-63.85423713051114,-5.873558908404703,-62.39190336873663
119806,4.555479226925016,2,0.0,59,-56.57433539163803,-65.68529384548806,-5.330627374469323,-61.129814618563046
121804,2.1490647910625817,2,0.0,60,-57.9338378590895,-62.231967441214664,-5.959292935539537,-60.08290265015208
