Evaluation/Iteration,Evaluation/TerminationRate,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KL,Evaluation/MinReturn,Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,GaussianMLPPolicy/LossBefore,GaussianMLPValueFunction/dLoss,TotalEnvSteps,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KLBefore,GaussianMLPValueFunction/LossAfter,GaussianMLPValueFunction/LossBefore,Evaluation/NumEpisodes,Evaluation/AverageReturn
0,0.0,3.134744167327881,0.0,0.0,-99.70378048523206,3.6139256422409503,-10.348846369500226,-92.47592920075016,3.134744167327881,31.45916175842285,1998,1.418938398361206,0.0,9.614423751831055,41.073585510253906,2,-96.08985484299112
1,0.0,1.447928786277771,0.01639091968536377,0.006397558376193047,-105.81271376370648,6.5883311103710085,-9.64765947592982,-92.63605154296447,1.4643197059631348,7.1846678256988525,3996,1.3418525457382202,0.0,3.716569662094116,10.901237487792969,2,-99.22438265333548
2,0.0,-0.24553132057189941,0.011424556374549866,0.006027221214026213,-87.88141146416135,1.6827420769332164,-8.456232730485894,-84.51592731029491,-0.23410676419734955,0.24773168563842773,5994,1.28705632686615,0.0,2.6133487224578857,2.8610804080963135,2,-86.19866938722814
3,0.0,-0.2551829516887665,0.0033651888370513916,0.005875690374523401,-78.99460676531737,0.6498610484038565,-7.1451498947354075,-77.69488466850966,-0.2518177628517151,0.256319522857666,7992,1.2666878700256348,0.0,2.3199775218963623,2.5762970447540283,2,-78.34474571691351
4,0.0,-0.1393907517194748,0.009018659591674805,0.007920151576399803,-81.66974424975976,5.999997220164559,-7.668796019448504,-69.66974980943064,-0.1303720921278,0.0933992862701416,9990,1.2362101078033447,0.0,2.370908498764038,2.4643077850341797,2,-75.6697470295952
5,0.0,0.3228570818901062,0.0033558309078216553,0.009987425059080124,-95.67079582682109,11.99649028278079,-7.3418753139536665,-71.67781526125951,0.32621291279792786,0.6986498832702637,11988,1.2025043964385986,0.0,4.278781414031982,4.977431297302246,2,-83.6743055440403
6,0.0,-0.5582470297813416,0.0003948807716369629,0.003406920237466693,-69.36480122388986,1.2800803550791713,-7.712104119573052,-66.80464051373151,-0.5578521490097046,1.07841956615448,13986,1.1850993633270264,0.0,1.9948121309280396,3.0732316970825195,2,-68.08472086881068
7,0.5,-1.3316420316696167,0.24164533615112305,0.005530483555048704,-91.55908459899749,62.763573049066565,-7.442406167980497,33.96806149913564,-1.0899966955184937,32.57257843017578,15773,1.184403657913208,0.0,70.31705474853516,102.88963317871094,2,-28.79551154993092
8,0.5,-0.7616437077522278,0.001169741153717041,0.02744753472507,-74.73381790003045,64.72602973545995,-7.176857703455128,54.718241570889454,-0.7604739665985107,13.298133850097656,17330,1.1658523082733154,0.0,66.24486541748047,79.54299926757812,2,-10.007788164570496
9,0.5,-0.2045205682516098,0.00605405867099762,0.004811402875930071,-66.53069082368873,55.49483388352427,-6.871647708584119,44.458976943359815,-0.19846650958061218,7.855216979980469,19078,1.1609591245651245,0.0,53.31250762939453,61.167724609375,2,-11.035856940164457
